Category,debit,credit
"[""Recreation"", ""Tennis""]",54300,0
"[""Recreation"", ""Water Sports""]",54300,0
"[""Recreation"", ""Yoga and Pilates""]",54300,0
"[""Recreation"", ""Zoo""]",54300,0
"[""Service"", ""Advertising and Marketing""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Writing, Copywriting and Technical Writing""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Search Engine Marketing and Optimization""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Public Relations""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Promotional Items""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Print, TV, Radio and Outdoor Advertising""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Online Advertising""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Market Research and Consulting""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Direct Mail and Email Marketing Services""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Creative Services""]",53200,0
"[""Service"", ""Advertising and Marketing"", ""Advertising Agencies and Media Buyers""]",53200,0
"[""Service"", ""Automotive""]",52600,0
"[""Service"", ""Automotive"", ""Towing""]",52600,0
"[""Service"", ""Automotive"", ""Motorcycle, Moped and Scooter Repair""]",52600,0
"[""Service"", ""Automotive"", ""Maintenance and Repair""]",52600,0
"[""Service"", ""Automotive"", ""Car Wash and Detail""]",52600,0
"[""Service"", ""Automotive"", ""Car Appraisers""]",52600,0
"[""Service"", ""Automotive"", ""Auto Transmission""]",52600,0
"[""Service"", ""Automotive"", ""Auto Tires""]",52600,0
"[""Service"", ""Automotive"", ""Auto Smog Check""]",52600,0
"[""Service"", ""Automotive"", ""Auto Oil and Lube""]",52600,0
"[""Service"", ""Business and Strategy Consulting""]",53200,0
"[""Service"", ""Business Services""]",53200,0
"[""Service"", ""Business Services"", ""Printing and Publishing""]",53200,0
"[""Service"", ""Cable""]",52306,0
"[""Service"", ""Cleaning""]",52520,0
"[""Service"", ""Computers""]",12600,0
"[""Service"", ""Computers"", ""Maintenance and Repair""]",12600,0
"[""Service"", ""Computers"", ""Software Development""]",12600,0
"[""Service"", ""Construction""]",52520,0
"[""Service"", ""Construction"", ""Specialty""]",52520,0
"[""Service"", ""Construction"", ""Roofers""]",52520,0
"[""Service"", ""Construction"", ""Painting""]",52520,0
"[""Service"", ""Construction"", ""Masonry""]",52520,0
"[""Service"", ""Construction"", ""Infrastructure""]",52520,0
"[""Service"", ""Construction"", ""Heating, Ventilating and Air Conditioning""]",52520,0
"[""Service"", ""Construction"", ""Electricians""]",52520,0
"[""Service"", ""Construction"", ""Contractors""]",52520,0
"[""Service"", ""Construction"", ""Carpet and Flooring""]",52520,0
"[""Service"", ""Construction"", ""Carpenters""]",52520,0
"[""Service"", ""Dating and Escort""]",54600,0
"[""Service"", ""Financial""]",52700,0
"[""Service"", ""Financial"", ""Taxes""]",52700,0
"[""Service"", ""Financial"", ""Student Aid and Grants""]",53100,0
"[""Service"", ""Financial"", ""Stock Brokers""]",52700,0
"[""Service"", ""Financial"", ""Loans and Mortgages""]",52700,0
"[""Service"", ""Financial"", ""Holding and Investment Offices""]",52700,0
"[""Service"", ""Financial"", ""Fund Raising""]",52700,0
"[""Service"", ""Financial"", ""Financial Planning and Investments""]",52700,0
"[""Service"", ""Financial"", ""Credit Reporting""]",52700,0
"[""Service"", ""Financial"", ""Collections""]",52700,0
"[""Service"", ""Financial"", ""Check Cashing""]",52700,0
"[""Service"", ""Financial"", ""Business Brokers and Franchises""]",52700,0
"[""Service"", ""Financial"", ""Banking and Finance""]",52700,0
"[""Service"", ""Financial"", ""ATMs""]",52700,0
"[""Service"", ""Financial"", ""Accounting and Bookkeeping""]",52700,0
"[""Service"", ""Food and Beverage""]",54100,0
"[""Service"", ""Food and Beverage"", ""Distribution""]",54100,0
"[""Service"", ""Food and Beverage"", ""Catering""]",54100,0
"[""Service"", ""Home Improvement""]",52520,0
"[""Service"", ""Home Improvement"", ""Upholstery""]",52520,0
"[""Service"", ""Home Improvement"", ""Tree Service""]",52520,0
"[""Service"", ""Home Improvement"", ""Swimming Pool Maintenance and Services""]",52520,0
"[""Service"", ""Home Improvement"", ""Storage""]",52520,0
"[""Service"", ""Home Improvement"", ""Roofers""]",52520,0
"[""Service"", ""Home Improvement"", ""Pools and Spas""]",52520,0
"[""Service"", ""Home Improvement"", ""Plumbing""]",52520,0
"[""Service"", ""Home Improvement"", ""Pest Control""]",52520,0
"[""Service"", ""Home Improvement"", ""Painting""]",52520,0
"[""Service"", ""Home Improvement"", ""Movers""]",52520,0
"[""Service"", ""Home Improvement"", ""Mobile Homes""]",52520,0
"[""Service"", ""Home Improvement"", ""Lighting Fixtures""]",52520,0
"[""Service"", ""Home Improvement"", ""Landscaping and Gardeners""]",52520,0
"[""Service"", ""Home Improvement"", ""Kitchens""]",52520,0
"[""Service"", ""Home Improvement"", ""Interior Design""]",52520,0
"[""Service"", ""Home Improvement"", ""Housewares""]",52520,0
"[""Service"", ""Home Improvement"", ""Home Inspection Services""]",52520,0
"[""Service"", ""Home Improvement"", ""Home Appliances""]",52520,0
"[""Service"", ""Home Improvement"", ""Heating, Ventilation and Air Conditioning""]",52520,0
"[""Service"", ""Home Improvement"", ""Hardware and Services""]",52520,0
"[""Service"", ""Home Improvement"", ""Fences, Fireplaces and Garage Doors""]",52520,0
"[""Service"", ""Home Improvement"", ""Electricians""]",52520,0
"[""Service"", ""Home Improvement"", ""Doors and Windows""]",52520,0
"[""Service"", ""Home Improvement"", ""Contractors""]",52520,0
"[""Service"", ""Home Improvement"", ""Carpet and Flooring""]",52520,0
"[""Service"", ""Home Improvement"", ""Carpenters""]",52520,0
"[""Service"", ""Home Improvement"", ""Architects""]",52520,0
"[""Service"", ""Household""]",52520,0
"[""Service"", ""Internet Services""]",52306,0
"[""Service"", ""Personal Care""]",54300,0
"[""Service"", ""Personal Care"", ""Tattooing""]",54300,0
"[""Service"", ""Personal Care"", ""Tanning Salons""]",54300,0
"[""Service"", ""Personal Care"", ""Spas""]",54300,0
"[""Service"", ""Personal Care"", ""Skin Care""]",54300,0
"[""Service"", ""Personal Care"", ""Piercing""]",54300,0
"[""Service"", ""Personal Care"", ""Massage Clinics and Therapists""]",54300,0
"[""Service"", ""Personal Care"", ""Manicures and Pedicures""]",54300,0
"[""Service"", ""Personal Care"", ""Laundry and Garment Services""]",54300,0
"[""Service"", ""Personal Care"", ""Hair Salons and Barbers""]",54300,0
